Trial,Stimulus Type, Stimulus File, TrialMskAttn, Speaker Az,Speaker El,Galvo Az,Galvo El,Pointer Az,Pointer El
1,V,BB 200-20k 50ms.16,100,-0.148259,-0.008090,-39.902433,0.273321,-37.386500,1.231361
2,V,BB 200-20k 50ms.16,100,-0.148259,-0.008090,-19.939633,0.273321,-19.632500,0.402882
3,A,BB 200-20k 50ms.16,100,-39.826827,-0.008090,0.023167,0.273321,-35.276500,18.193824
4,A,BB 200-20k 50ms.16,100,21.803959,-0.008090,0.023167,0.273321,22.906500,0.678848
5,A,BB 200-20k 50ms.16,100,-29.840767,-0.008090,0.023167,0.273321,-22.620500,6.784334
6,A,BB 200-20k 50ms.16,100,-18.003963,-0.008090,0.023167,0.273321,-13.567500,2.437159
7,V,BB 200-20k 50ms.16,100,-0.138308,-0.008090,-15.947073,0.273321,-14.446500,-0.054814
8,V,BB 200-20k 50ms.16,100,-0.142288,-0.008090,-11.954513,0.273321,-11.634500,0.770957
9,V,BB 200-20k 50ms.16,100,-0.110448,-0.008090,37.952487,0.273321,37.584500,-0.329334
10,V,BB 200-20k 50ms.16,100,-0.103482,-0.008090,21.982247,0.273321,21.412500,-0.146381
11,V,BB 200-20k 50ms.16,100,-0.103482,-0.008090,29.967367,0.273321,29.674500,-0.146381
12,V,BB 200-20k 50ms.16,100,-0.105473,-0.008090,29.967367,0.273321,30.377500,0.402882
13,A,BB 200-20k 50ms.16,100,-19.914408,-0.008090,0.023167,0.273321,-15.413500,1.416365
14,A,BB 200-20k 50ms.16,100,-14.080583,-0.008090,0.023167,0.273321,-8.557500,1.971775
15,V,BB 200-20k 50ms.16,100,-0.100497,-0.008090,-21.935913,0.273321,-18.489500,0.128501
16,A,BB 200-20k 50ms.16,100,39.592001,-0.008090,0.023167,0.273321,38.815500,1.416365
17,A,BB 200-20k 50ms.16,100,-5.015916,-0.008090,0.023167,0.273321,-7.151500,4.594234
18,A,BB 200-20k 50ms.16,100,13.747250,-0.008090,0.023167,0.273321,11.481500,2.250824
19,V,BB 200-20k 50ms.16,100,-0.031841,-0.008090,10.004567,0.273321,10.514500,0.128501
20,V,BB 200-20k 50ms.16,100,-0.034826,-0.008090,-27.924753,0.273321,-23.059500,0.219206
21,V,BB 200-20k 50ms.16,100,-0.034826,-0.008090,35.956207,0.273321,34.244500,0.494810
22,V,BB 200-20k 50ms.16,100,-0.034826,-0.008090,12.000847,0.273321,11.744500,0.128501
23,A,BB 200-20k 50ms.16,100,-10.008945,-0.008090,0.023167,0.273321,-14.973500,1.138950
24,V,BB 200-20k 50ms.16,100,-0.096517,-0.008090,13.997127,0.273321,14.381500,-0.603313
25,V,BB 200-20k 50ms.16,100,-0.089552,-0.008090,-37.906153,0.273321,-31.321500,-0.875717
26,A,BB 200-20k 50ms.16,100,39.606927,-0.008090,0.023167,0.273321,39.606500,0.678848
